Library, Current Item Policy, Loan Length, Set Name, Result
Music,Apple Charger,4 Hours,Apple Charger - Music - to 4 Hours and Item Material Type Equipment,200
Music,Apple Charger,4 Hours,Apple Charger - Music - to 4 Hours and Item Material Type Equipment,204
Music,AV Cable,4 Hours,AV Cable - Music - to 4 Hours and Item Material Type Equipment,200
Music,AV Cable,4 Hours,AV Cable - Music - to 4 Hours and Item Material Type Equipment,204
Music,AV Equipment,3 days,AV Equipment - Music - to 3 days and Item Material Type Equipment,200
Music,AV Equipment,3 days,AV Equipment - Music - to 3 days and Item Material Type Equipment,204
Music,External Drive,4 Hours,External Drive - Music - to 4 Hours and Item Material Type Equipment,200
Music,External Drive,4 Hours,External Drive - Music - to 4 Hours and Item Material Type Equipment,204
Music,Headphones,4 Hours,Headphones - Music - to 4 Hours and Item Material Type Equipment,200
Music,Headphones,4 Hours,Headphones - Music - to 4 Hours and Item Material Type Equipment,204
Music,Laptop,4 Hours,Laptop - Music - to 4 Hours and Item Material Type Laptop,200
Music,Laptop,4 Hours,Laptop - Music - to 4 Hours and Item Material Type Laptop,204
Music,Musical Instrument,4 Hours,Musical Instrument - Music - to 4 Hours and Item Material Type Equipment,{"total_record_count":0}-set already deleted
Music,Supplies,4 Hours,Supplies - Music - to 4 Hours and Item Material Type Equipment,{"total_record_count":0}-set already deleted
SMFA,AC Adaptor,4 Hours,AC Adaptor - SMFA - to 4 Hours and Item Material Type Equipment,200
SMFA,AC Adaptor,4 Hours,AC Adaptor - SMFA - to 4 Hours and Item Material Type Equipment,204
SMFA,AC Adaptor,4 Hours,AC Adaptor - SMFA - to 4 Hours and Item Material Type Equipment,200
SMFA,AC Adaptor,4 Hours,AC Adaptor - SMFA - to 4 Hours and Item Material Type Equipment,204
SMFA,AC Adaptor,4 Hours,AC Adaptor - SMFA - to 4 Hours and Item Material Type Equipment,200
SMFA,AC Adaptor,4 Hours,AC Adaptor - SMFA - to 4 Hours and Item Material Type Equipment,204
SMFA,AC Adaptor,4 Hours,AC Adaptor - SMFA - to 4 Hours and Item Material Type Equipment,200
SMFA,AC Adaptor,4 Hours,AC Adaptor - SMFA - to 4 Hours and Item Material Type Equipment,204
SMFA,AC Adaptor,4 Hours,AC Adaptor - SMFA - to 4 Hours and Item Material Type Equipment,200
SMFA,AC Adaptor,4 Hours,AC Adaptor - SMFA - to 4 Hours and Item Material Type Equipment,204
SMFA,Apple Charger,4 Hours,Apple Charger - SMFA - to 4 Hours and Item Material Type Equipment,200
SMFA,Apple Charger,4 Hours,Apple Charger - SMFA - to 4 Hours and Item Material Type Equipment,204
SMFA,AV Cable,4 Hours,AV Cable - SMFA - to 4 Hours and Item Material Type Equipment,200
SMFA,AV Cable,4 Hours,AV Cable - SMFA - to 4 Hours and Item Material Type Equipment,204
SMFA,AV Equipment,3 days,AV Equipment - SMFA - to 3 days and Item Material Type Equipment,200
SMFA,AV Equipment,3 days,AV Equipment - SMFA - to 3 days and Item Material Type Equipment,204
SMFA,External Drive,4 Hours,External Drive - SMFA - to 4 Hours and Item Material Type Equipment,200
SMFA,External Drive,4 Hours,External Drive - SMFA - to 4 Hours and Item Material Type Equipment,204
SMFA,Headphones,4 Hours,Headphones - SMFA - to 4 Hours and Item Material Type Equipment,200
SMFA,Headphones,4 Hours,Headphones - SMFA - to 4 Hours and Item Material Type Equipment,204
SMFA,Laptop,4 Hours,Laptop - SMFA - to 4 Hours and Item Material Type Laptop,200
SMFA,Laptop,4 Hours,Laptop - SMFA - to 4 Hours and Item Material Type Laptop,204
SMFA,Laptop Accessories,4 Hours,Laptop Accessories - SMFA - to 4 Hours and Item Material Type Equipment,200
SMFA,Laptop Accessories,4 Hours,Laptop Accessories - SMFA - to 4 Hours and Item Material Type Equipment,204
SMFA,Supplies,4 Hours,Supplies - SMFA - to 4 Hours and Item Material Type Equipment,{"total_record_count":0}-set already deleted
Music,Mac Av Adaptor,4 Hours,Mac Av Adaptor - Music - to 4 Hours and Item Material Type Equipment,{"total_record_count":0}-set already deleted
SMFA,Mac Accessory,4 Hours,Mac Accessory - SMFA - to 4 Hours and Item Material Type Equipment,200
SMFA,Mac Accessory,4 Hours,Mac Accessory - SMFA - to 4 Hours and Item Material Type Equipment,204
SMFA,Mac Av Adaptor,4 Hours,Mac Av Adaptor - SMFA - to 4 Hours and Item Material Type Equipment,{"total_record_count":0}-set already deleted
